Size;Size/Stations;Random;FirstFit;BestFit;WorstFit;RoundRobin
10;1,000;3,0350;6,0460;6,0450;4,0410;3,0310
20;2,000;4,0510;10,0660;10,0990;5,0630;3,0230
50;5,000;7,0630;16,1130;16,1700;6,0600;5,0550
100;10,000;11,0630;24,1180;24,2160;8,0720;8,0770
200;20,000;16,1540;27,2170;27,2020;13,1300;13,1090
500;50,000;32,4850;42,3730;41,3820;29,1940;28,2570
1000;100,000;56,2310;68,2960;66,5220;53,3900;53,2990
5000;500,000;271,8440;285,1980;266,6550;256,8190;254,7740
10000;1000,000;542,9390;556,3350;524,0000;512,2060;505,5360
