Size;Size/Stations;Random;FirstFit;BestFit;WorstFit;RoundRobin
10;0,500;3,0310;6,0810;6,0570;5,0570;3,0290
20;1,000;4,0300;10,0930;10,0740;5,0500;3,0250
50;2,500;5,0480;16,1760;16,1380;5,0130;4,0250
100;5,000;10,0810;24,2040;24,1220;6,0480;5,0160
200;10,000;11,1030;24,1380;24,1810;9,1120;8,1040
500;25,000;21,1920;29,2850;29,2520;15,1930;15,1360
1000;50,000;33,8230;41,7070;42,3710;29,3740;28,2070
5000;250,000;137,4940;144,0050;143,4520;130,9050;127,7720
10000;500,000;266,7940;276,2440;275,0320;259,2100;254,0820
