Size;Size/Stations;Random;FirstFit;BestFit;WorstFit;RoundRobin
10;1,250;4,0360;6,0640;6,0500;4,0540;3,0120
20;2,500;5,0450;10,0660;10,0720;4,0660;4,0150
50;6,250;7,0590;16,1470;16,1280;6,0650;5,0800
100;12,500;12,1160;24,1390;23,1510;11,0390;9,0640
200;25,000;19,2380;29,2240;30,1810;16,1210;16,0610
500;62,500;39,4620;48,7030;48,3730;34,3540;34,2450
1000;125,000;69,0460;80,0710;78,6780;65,6360;65,4560
5000;625,000;337,8450;345,4710;327,7040;319,9030;319,1900
10000;1250,000;662,5070;690,6330;650,2740;637,2490;634,6090
