Size;Size/Stations;Random;FirstFit;BestFit;WorstFit;RoundRobin
10;0,667;4,0310;6,0450;6,0370;4,0580;3,0240
20;1,333;4,0350;10,0930;10,0730;6,0850;3,0240
50;3,333;6,0610;16,0880;16,1090;5,0410;4,0270
100;6,667;10,0640;24,1290;23,1560;7,0560;6,0510
200;13,333;14,1420;24,1480;24,1660;11,0780;10,0890
500;33,333;23,2350;33,3410;33,2750;20,1650;20,1700
1000;66,667;41,4640;50,4100;50,5020;37,6890;36,2780
5000;333,333;185,5430;189,0270;183,7820;174,8000;171,4390
10000;666,667;356,5270;363,8630;356,7930;344,5360;337,7730
